"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"CR-V SUV","1997","Automatic","28000","Petrol","5","13.7","2016","30330"
"CR-V SUV","1997","Automatic","27000","Petrol","5","13.7","2016","30682"
"CR-V SUV","2354","Automatic","80000","Petrol","5","11.1","2013","30111"
"CR-V SUV","2354","Automatic","48350","Petrol","5","12","2015","30262"
"CR-V SUV","2354","Manual","120000","Petrol","5","13.1","2008","30114"
"CR-V SUV","2354","Automatic","48350","Petrol","5","12","2015","30253"
"CR-V SUV","1997","Automatic","66000","Petrol","5","13.7","2015","30559"
"CR-V SUV","2354","Automatic","96000","Petrol","5","10.1","2013","30078"
"CR-V SUV","1997","Automatic","67000","Petrol","5","14.4","2019","30775"
"CR-V SUV","1997","Automatic","95000","Petrol","5","13.7","2017","30586"
"CR-V SUV","1997","Automatic","83586","Petrol","5","13.7","2014","30100"
"CR-V SUV","2354","Manual","119000","Petrol","5","10.8","2008","30210"
"CR-V SUV","1997","Manual","119000","Petrol","5","13.1","2008","30034"
"CR-V SUV","2354","Automatic","98070","Petrol","5","10.1","2009","29605"
"CR-V SUV","2354","Automatic","66687","Petrol","5","12","2018","30790"
"CR-V SUV","1597","Automatic","63660","Diesel","7","19.5","2019","30755"
"CR-V SUV","1997","Automatic","58000","Petrol","5","13.7","2018","30700"
"CR-V SUV","1997","Automatic","55000","Petrol","5","13.7","2016","30386"
"CR-V SUV","2354","Manual","110000","Petrol","5","11.1","2005","30121"
"CR-V SUV","2354","Automatic","61741","Petrol","5","12","2014","30520"
"CR-V SUV","1997","Automatic","54597","Petrol","5","13.7","2015","30307"
"CR-V SUV","2354","Automatic","73607","Petrol","5","10.1","2013","30100"
"CR-V SUV","2354","Automatic","74008","Petrol","5","12","2015","30361"
"CR-V SUV","2354","Automatic","47000","Petrol","5","12","2015","30442"
"CR-V SUV","2354","Automatic","74016","Petrol","5","12","2015","30586"
"CR-V SUV","1997","Automatic","107255","Petrol","5","13.7","2015","30325"
"CR-V SUV","1997","Automatic","60000","Petrol","5","13.7","2017","30397"
"CR-V SUV","2354","Automatic","35000","Petrol","5","12","2014","30210"
"CR-V SUV","2354","Automatic","56000","Petrol","5","11.1","2016","30314"
